"1457 yi ~爪ē娓臧T(じ,)"
~,Θユ鸭,Θユ髅B,Θユ掸计,程蔼基,ら戳,程C基,ら戳,ΜLキА基
83,"95,236,923","5,941,433,070","19,242",72.00,12/16,51.00,10/20,60.45
84,"279,851,195","13,374,799,477","47,577",68.50,1/05,33.80,11/01,47.07
85,"725,145,589","24,599,592,572","110,500",41.40,4/16,28.50,11/23,34.15
86,"762,760,816","23,577,387,256","125,469",36.90,4/14,21.40,10/17,28.87
87,"1,124,524,997","34,771,169,085","169,704",37.50,7/17,20.00,12/31,29.23
88,"671,307,555","11,807,182,388","90,298",23.00,5/04,9.60,12/28,15.85
89,"896,799,569","11,947,996,099","150,556",21.00,2/22,2.76,11/24,9.00
90,"528,220,178","2,201,951,650","67,033",6.05,4/10,2.81,7/12,3.87
91,"1,899,497,174","11,822,791,964","203,901",8.85,3/27,3.70,10/08,5.65
92,"2,483,247,490","17,791,031,210","275,079",10.15,1/24,4.10,5/02,6.60
93,"1,323,879,626","10,058,223,468","159,489",9.45,2/02,4.85,8/05,6.51
94,"350,255,342","1,600,273,467","45,408",7.05,1/03,3.00,8/31,4.17
95,"273,528,448","1,027,762,806","35,165",5.32,12/29,2.39,9/14,3.18
96,"1,023,563,608","6,127,143,477","143,980",8.50,7/25,3.72,1/16,5.49
97,"186,901,216","1,048,707,812","35,761",8.28,5/23,3.26,10/28,5.10
98,"353,950,142","2,166,226,742","64,269",8.55,12/29,2.91,1/21,4.87
99,"1,327,344,722","14,149,973,640","263,809",13.65,11/10,6.75,2/06,9.58
100,"794,247,836","9,249,390,192","193,339",14.90,1/04,6.35,12/19,10.10
101,"240,925,155","1,812,914,601","63,510",9.01,3/07,5.81,6/04,7.06
102,"165,857,602","1,291,130,545","43,340",8.78,10/08,7.08,6/25,7.59
瘭~程蔼基,ら戳,瘭~程C基,ら戳
72.00, 83/12/16,2.39, 95/9/14
弧G          1. セ参p戈Tt@搿Bs选BL岍w基BdBユ觥Aぃt╃芥B夹潦C
